REGION,PSU,PSU_VAR,PSUSTRAT,URBANICITY,STRATUM,PJ,WEIGHT,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERMVIT,MONTH,DAY_WEEK,WKDY_IM,HOUR,HOUR_IM,MINUTE,MINUTENAME,MINUTE_IM,MINUTE_IMNAME,HARM_EV,EVENT1_IM,MAN_COLL,MANCOL_IM,RELJCT1,RELJCT1_IM,RELJCT2,RELJCT2_IM,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,LGTCON_IM,WEATHER,WEATHR_IM,SCH_BUS,INT_HWY,MAX_SEV,MAXSEV_IM,NUM_INJ,NO_INJ_IM,ALCOHOL,ALCHL_IM
3,83,83,13,1,9,4148,125.7120165,0,0,2,2,0,4,1,3,3,13,13,59,59,59,59,12,12,6,6,0,0,2,2,2,1,0,1,1,1,1,0,0,0,0,0,0,2,2
3,83,83,13,1,5,4148,23.28159742,0,0,2,2,0,3,1,3,3,17,17,25,25,25,25,12,12,2,2,0,0,2,2,2,1,0,5,5,1,1,0,0,3,3,3,3,2,2
3,83,83,13,1,7,4148,134.7660328,0,0,2,2,0,2,1,3,3,16,16,15,15,15,15,12,12,6,6,0,0,2,2,3,1,0,1,1,1,1,0,0,0,0,0,0,2,2
3,63,63,16,2,10,4135,188.6456701,0,2,2,1,1,1,1,4,4,14,14,9,9,9,9,14,14,0,0,0,0,8,8,1,7,0,1,1,1,1,0,0,0,0,0,0,9,2
3,63,63,16,2,5,4135,24.41044993,0,0,1,1,0,1,1,7,7,23,23,45,45,45,45,42,42,0,0,0,0,1,1,1,4,0,2,2,1,1,0,0,3,3,1,1,1,1
3,59,59,10,1,9,4137,126.308435,0,0,2,2,0,2,1,7,7,23,23,4,4,4,4,12,12,6,6,0,0,2,2,2,1,0,3,3,1,1,0,0,0,0,0,0,2,2
3,59,59,10,1,7,4137,135.5219758,0,0,2,2,0,2,1,4,4,9,9,30,30,30,30,12,12,1,1,0,0,1,1,1,1,0,1,1,2,2,0,0,0,0,0,0,2,2
3,59,59,10,1,2,4137,21.8057861,1,1,1,1,0,1,1,4,4,14,14,15,15,15,15,15,15,0,0,0,0,3,3,2,1,0,1,1,1,1,0,0,1,1,1,1,9,2
3,65,65,13,1,7,4138,131.8094601,0,0,2,2,0,2,1,4,4,9,9,10,10,10,10,12,12,6,6,1,1,20,20,1,1,0,1,1,1,1,0,1,0,0,0,0,9,2
3,28,28,11,1,6,4139,49.2893234,0,0,1,1,0,1,1,4,4,13,13,53,53,53,53,17,17,0,0,0,0,1,1,1,4,0,1,1,1,1,0,0,2,2,1,1,2,2
3,28,28,11,1,9,4139,124.7110349,0,0,2,2,0,3,1,4,4,12,12,20,20,20,20,12,12,6,6,0,0,2,2,10,1,0,1,1,1,1,0,0,0,0,0,0,2,2
3,28,28,11,1,8,4139,121.5441049,0,0,1,1,0,1,1,4,4,9,9,40,40,40,40,24,24,0,0,0,0,1,1,1,3,0,1,1,2,2,0,1,1,1,1,1,2,2
3,12,12,12,1,9,4142,124.544145,0,0,2,2,0,2,1,5,5,8,8,40,40,40,40,12,12,6,6,0,0,8,8,1,1,0,1,1,1,1,0,0,0,0,0,0,2,2
3,12,12,12,1,6,4142,49.08168125,0,0,4,4,0,4,1,5,5,8,8,38,38,38,38,12,12,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,4,4,2,2
3,12,12,12,1,10,4142,196.2245855,0,0,1,1,0,1,1,4,4,12,12,34,34,34,34,30,30,0,0,0,0,1,1,1,4,0,1,1,10,10,0,0,0,0,0,0,2,2
3,12,12,12,1,8,4142,120.4022914,0,0,3,3,0,5,1,2,2,13,13,23,23,23,23,12,12,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,2,2
3,75,75,19,2,10,4144,186.0467773,0,0,1,1,0,3,1,5,5,17,17,13,13,13,13,34,34,0,0,0,0,1,1,1,4,0,2,2,4,4,0,0,0,0,0,0,2,2
3,78,78,10,1,2,4146,21.52716871,1,1,1,1,0,1,1,4,4,18,18,51,51,51,51,9,9,0,0,0,0,1,1,1,1,0,2,2,1,1,0,0,2,2,1,1,2,2
3,78,78,10,1,9,4146,124.3462461,0,0,2,2,0,2,1,4,4,12,12,26,26,26,26,12,12,1,1,0,0,3,3,2,1,0,1,1,10,10,0,0,0,0,0,0,2,2
3,78,78,10,1,3,4146,24.72973273,0,0,1,1,0,1,1,5,5,17,17,42,42,42,42,53,53,0,0,0,0,1,1,1,4,0,1,1,1,1,0,0,2,2,1,1,1,1
3,78,78,10,1,6,4146,49.14693235,0,0,2,2,0,4,1,4,4,7,7,38,38,38,38,12,12,1,1,0,0,3,3,2,1,0,1,1,10,10,0,0,1,1,1,1,2,2
3,40,40,15,1,9,4147,121.7055834,0,0,2,2,0,2,1,4,4,6,6,55,55,55,55,12,12,1,1,0,0,1,1,1,1,0,4,4,98,1,0,0,0,0,0,0,2,2
3,40,40,15,1,6,4147,48.5915568,0,0,3,3,0,4,1,4,4,10,10,46,46,46,46,33,33,0,0,0,0,3,3,2,4,0,1,1,98,1,0,0,2,2,4,4,2,2
3,40,40,15,1,7,4147,130.4125754,0,0,2,2,0,2,1,4,4,18,18,55,55,55,55,12,12,8,8,0,0,1,1,1,1,0,3,3,98,10,0,0,0,0,0,0,1,1
3,40,40,15,1,5,4147,22.77296608,0,0,3,3,0,3,1,4,4,20,20,3,3,3,3,12,12,2,2,0,0,1,1,1,1,0,3,3,98,10,0,0,3,3,1,1,1,1
3,51,51,10,1,7,1117,126.190967,0,0,1,1,0,2,1,3,3,0,0,50,50,50,50,20,20,0,0,0,0,1,1,1,4,1,2,2,1,1,0,1,0,0,0,0,2,2
3,35,35,13,1,8,4141,119.77892,0,0,2,2,0,4,1,2,2,99,9,99,Unknown Minutes,50,50,12,12,6,6,0,0,2,2,2,1,0,1,1,1,1,0,0,2,2,3,3,2,2
3,35,35,13,1,5,4141,22.99074056,0,0,1,1,0,1,1,4,4,6,6,23,23,23,23,1,1,0,0,0,0,1,1,1,4,0,2,2,1,1,0,0,3,3,1,1,1,1
3,35,35,13,1,4,4141,10.39737195,0,0,3,3,0,5,1,4,4,19,19,39,39,39,39,12,12,6,6,1,1,2,2,2,1,0,3,3,1,1,0,0,3,3,5,5,2,2
3,35,35,13,1,9,4141,124.2129033,0,0,2,2,0,2,1,5,5,9,9,37,37,37,37,12,12,6,6,0,0,2,2,2,1,0,1,1,4,4,0,0,0,0,0,0,2,2
3,35,35,13,1,6,4141,48.908543,0,0,2,2,0,2,1,5,5,7,7,33,33,33,33,12,12,2,2,0,0,2,2,2,1,0,1,1,10,10,0,0,2,2,1,1,2,2
3,35,35,13,1,10,4141,196.1719023,0,0,1,1,0,1,1,5,5,8,8,31,31,31,31,25,25,0,0,0,0,1,1,1,3,0,1,1,11,11,0,1,0,0,0,0,2,2
3,32,32,17,2,10,4145,191.4574406,0,0,2,2,0,5,1,5,5,14,14,6,6,6,6,12,12,6,6,0,0,2,2,2,1,0,1,1,2,2,0,0,0,0,0,0,2,2
3,32,32,17,2,6,4145,47.73331467,0,0,1,1,0,1,1,4,4,7,7,58,58,58,58,42,42,0,0,0,0,3,3,3,4,0,1,1,5,5,0,0,1,1,1,1,2,2
3,83,83,13,1,9,4148,125.7120165,0,0,4,4,0,5,1,7,7,11,11,15,15,15,15,57,57,0,0,0,0,1,1,1,3,0,1,1,2,2,0,0,0,0,0,0,2,2
3,83,83,13,1,8,4148,122.3185638,0,0,2,2,0,2,1,3,3,9,9,20,20,20,20,12,12,6,6,0,0,2,2,3,1,0,1,1,1,1,0,0,1,1,1,1,2,2
3,83,83,13,1,10,4148,198.6423173,0,0,1,1,0,1,1,4,4,9,9,30,30,30,30,34,34,0,0,0,0,1,1,1,4,0,1,1,1,1,0,0,0,0,0,0,2,2
3,59,59,10,1,9,4137,126.308435,0,0,2,2,0,3,1,4,4,20,20,45,45,45,45,12,12,6,6,0,0,2,2,2,1,0,5,5,1,1,0,0,0,0,0,0,2,2
3,59,59,10,1,2,4137,21.8057861,1,1,1,1,0,1,1,6,6,19,19,36,36,36,36,8,8,0,0,0,0,3,3,3,1,0,2,2,1,1,0,0,2,2,1,1,2,2
3,28,28,11,1,9,4139,124.7110349,0,0,2,2,0,2,1,4,4,8,8,29,29,29,29,12,12,6,6,1,1,2,2,3,1,0,1,1,1,1,0,0,0,0,0,0,2,2
3,28,28,11,1,10,4139,197.0013724,0,0,2,2,0,2,1,4,4,12,12,15,15,15,15,12,12,6,6,0,0,2,2,3,1,0,1,1,1,1,0,0,0,0,0,0,2,2
3,28,28,11,1,6,4139,49.2893234,0,0,3,3,0,4,1,3,3,14,14,11,11,11,11,12,12,1,1,0,0,3,3,2,1,0,1,1,1,1,0,0,1,1,1,1,2,2
3,28,28,11,1,9,4139,124.7110349,0,0,2,2,0,2,1,4,4,11,11,15,15,15,15,12,12,1,1,1,1,20,20,1,1,0,1,1,2,2,0,1,0,0,0,0,2,2
3,12,12,12,1,7,4142,133.0304154,0,0,2,2,0,5,1,5,5,10,10,46,46,46,46,12,12,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,2,2
